id,category,name,description,horizon,shipp,icp,diff,viral,rev,breadth,cost,notes,total_unweighted
3,Collaboration,Real-time collaboration,"Multiple users edit the same note simultaneously with cursors and presence indicators",NOW,5,5,3,3,4,5,4,"Table-stakes for teams, but still strong",29
7,AI features,AI summarization on long notes,"One-click 'summarize this note' that turns a 3000-word meeting transcript into bullet points",NOW,5,4,4,4,4,4,3,"",28
1,Core features,Offline-first sync,"Edit without connection, sync when back online with conflict resolution",NOW,5,5,4,2,4,4,4,"Reliability feature, not flashy",28
12,Core features,Templates gallery,"Pre-built templates for meeting notes, daily journals, project plans, book notes",NOW,5,4,2,3,3,5,5,"Cheap to ship, broad appeal",27
5,Integrations,Import from Evernote,"One-click migration from Evernote including notebooks, tags, and attachments",NOW,4,5,4,3,4,4,2,"Wedge against incumbents",26
18,AI features,Voice-to-text meeting capture,"Start a meeting, Acme Notes records + transcribes + auto-tags action items",NOW,4,4,5,5,3,4,3,"Strong Twitter clip potential",28
24,Marketing demos,"""Brain-dump → organized"" demo","Paste 500 words of unstructured text, watch AI organize into headings + action items in 15 sec",NOW,4,3,4,5,3,5,4,"Demo-friendly; used in landing video",28
11,Core features,Bidirectional linking,"[[note-name]] syntax creates backlinks automatically, build a personal wiki",NOW,4,4,3,3,3,4,4,"Roam/Obsidian-inspired",25
9,Integrations,Slack save-to-note,"React to any Slack message with an emoji, it becomes a note with full context",NOW,4,3,4,4,3,4,4,"Good for teams",26
15,Mobile,Apple Watch quick capture,"Raise wrist, dictate, done. Syncs to iCloud + web",NEXT,3,3,4,4,3,3,3,"Niche but delightful",23
20,Enterprise,SSO (Okta, Azure AD),"Single sign-on for org accounts; admin-managed user provisioning",NEXT,3,3,2,1,4,2,3,"Procurement gate; revenue=4",18
22,Enterprise,Audit log + retention policies,"Who viewed/edited what, when; admin-configurable retention",NEXT,2,3,2,1,3,2,2,"Enterprise gate",15
29,AI features,AI task extraction from notes,"Scans every note, auto-creates tasks in your task manager (Asana, Linear, Notion)",FUTURE,1,4,5,5,4,4,2,"Big story, not built yet",25
4,AI features,Handwriting recognition on iPad,"Write with Apple Pencil, convert to searchable text on demand",NEXT,3,3,3,3,3,3,3,"",21
13,Collaboration,Comment threads on paragraphs,"Notion-style inline comments with mentions and resolutions",NOW,4,4,2,2,3,3,4,"Table-stakes",22
26,Core features,Export to markdown,"Download individual notes or entire workspaces as .md files",NOW,5,3,1,1,2,3,5,"Trust signal more than differentiator",20
8,AI features,Semantic search,"Search 'notes about the Q3 customer calls' and find notes that don't contain those exact words",NOW,4,4,4,3,3,4,3,"Core AI feature",25
30,Roadmap,Local-first with optional sync,"Run entirely on device, optionally sync via end-to-end encryption",FUTURE,1,3,5,3,3,4,1,"Privacy-first wedge, Phase 2",20
17,Mobile,Widget for iOS home screen,"Quick-capture widget, see recent notes without opening app",NEXT,3,3,2,2,2,3,4,"",19
27,Integrations,Calendar sync,"Every meeting auto-gets a note with attendees, agenda, and past-meeting links",NOW,4,4,3,3,3,4,3,"",24
