id,category,name,description,horizon,shipp,icp,diff,viral,rev,breadth,cost,notes,total_unweighted
1,Hero headlines,"""Stop losing ideas between three apps""","Consolidation angle — pitches Acme Notes as the replacement for the Apple Notes + Notion + Google Docs pile most people run",NOW,4,5,3,4,3,5,4,"Hero candidate; could pair with comparison logos",28
2,Hero headlines,"""Fewer clicks, more thinking""","UX slogan angle — positions speed and low-friction as the core value. Works as subhead, short tweet, or ad headline",NOW,4,3,2,3,2,3,5,"Generic; used mostly as supporting line, not hero",22
3,Hero headlines,"""Your meeting notes write themselves""","Flagship AI-summarization angle. Works as homepage hero, 60-sec demo title, and YouTube thumbnail. Highest-gravity angle in the catalog",NOW,5,5,4,3,3,5,4,"Backed by AI summarization + auto-tag shipping",29
4,Hero headlines,"""Search that finds what you meant, not what you typed""","Semantic search angle — the ""magic"" moment framed as a promise. Reads as a tweet or landing line",NOW,4,4,4,3,3,4,3,"Relies on semantic search being tuned",25
5,Migration wedges,"""Import your Evernote in one click""","Direct migration angle — wedge against the incumbent. Cold-email subject line candidate; landing section under ""switching is easy""",NOW,4,5,4,3,4,3,4,"Importer ships; tested with 5K+ notes",27
6,Trust signals,"""The note app that doesn't lock you in""","Export-freedom angle. Trust signal for the landing page, blog-post intro, Hacker News framing",NOW,5,3,3,2,2,3,5,"Markdown export shipped",23
7,Comparison angles,"""Real-time collab without the Google Docs bloat""","Direct competitor framing. Works as features-grid headline, comparison-page header, X thread title",NOW,5,4,3,3,3,4,4,"CRDT collab shipped",26
8,Hero headlines,"""Your second brain, searchable and shareable""","Knowledge-management angle. Pitches the product to power users and PKM audience on X / Hacker News",NOW,4,4,3,3,3,4,4,"Leans on semantic search + backlinks",25
9,Transformation demos,"""Brain-dump → organized in 15 seconds""","Before/after transformation angle. Best-suited for demo video, animated GIF, tweet with video",NOW,4,4,3,4,3,3,3,"Needs a clean 15-sec capture; high-virality potential",24
10,Comparison angles,"""Notion, but for people who actually take notes""","Snarkier comparison angle. Works best as tweet or LinkedIn hook; probably too sharp for homepage hero",NOW,4,4,3,4,3,4,4,"Risk: combative; fits guerrilla marketing, not brand page",26
11,Trust signals,"""Works offline, syncs when you're back""","Reliability angle. Trust-signal line for landing, sales talking point, enterprise-pitch de-risking",NOW,5,5,4,2,3,4,3,"Offline-first is a core shipped feature",26
